													92.8	92.8	92.9	92.9	93.0	93.0	93.0													
											92.7	92.7	92.7																			
										92.6	92.6																					
									92.5	92.5																						
									92.5																							
								92.4	92.2																							
								92.3																								
								92.2																								
								92.1																								
								92.0	92.0																							
									91.5	91.5																						
										91.5	91.5	91.5																				
												90.5	90.5																			
													90.0	90.0																		
													89.5	89.5																		
												89.0	89.0																			
									88.5	88.5	88.5	88.5																				
							88.2	88.2	88.2																							
					88.0	88.0	88.0																									
